"sampleid" "diet" "day_post_inf" "mouse_id" "study" "diet_true" "high_fat" "high_fiber" "purified_diet" "seq_depth"
"305" "63.9974.0709" "HF/LF" -3 9974 6 "HF/LF" 1 0 1 411
"306" "64.9974.0712" "HF/LF" 0 9974 6 "HF/LF" 1 0 1 955
"307" "61.9975.0627" "HF/LF" -15 9975 6 "Chow" 0 1 0 41796
"308" "62.9975.0704" "HF/LF" -8 9975 6 "HF/LF" 1 0 1 40482
"309" "63.9975.0709" "HF/LF" -3 9975 6 "HF/LF" 1 0 1 956
"310" "64.9975.0712" "HF/LF" 0 9975 6 "HF/LF" 1 0 1 1967
"311" "73.98.0813" "LF/HF" -3 98 7 "LF/HF" 0 1 1 48644
"312" "74.100.0816" "LF/HF" -8 100 7 "LF/HF" 0 1 1 40670
"313" "73.103.0813" "HF/HF" -3 103 7 "HF/HF" 1 1 1 68005
"314" "33.9831.0528" "LF/HF" -3 9831 3 "LF/HF" 0 1 1 40120
"315" "34.9831.0531" "LF/HF" 0 9831 3 "LF/HF" 0 1 1 41805
"316" "33.9832.0528" "LF/HF" -3 9832 3 "LF/HF" 0 1 1 39683
"317" "34.9832.0531" "LF/HF" 0 9832 3 "LF/HF" 0 1 1 30000
"318" "33.9833.0528" "LF/HF" -3 9833 3 "LF/HF" 0 1 1 24435
"319" "33.9834.0528" "LF/HF" -3 9834 3 "LF/HF" 0 1 1 44962
"320" "34.9834.0531" "LF/HF" 0 9834 3 "LF/HF" 0 1 1 27894
"321" "33.9835.0528" "LF/HF" -3 9835 3 "LF/HF" 0 1 1 43323
"322" "34.9835.0531" "LF/HF" 0 9835 3 "LF/HF" 0 1 1 47260
"323" "33.9836.0528" "HF/HF" -3 9836 3 "HF/HF" 1 1 1 28451
"324" "34.9836.0531" "HF/HF" 0 9836 3 "HF/HF" 1 1 1 36553
"325" "33.9837.0528" "HF/HF" -3 9837 3 "HF/HF" 1 1 1 23405
